,artist_name,title,execution_date,category,id,title_len,title_length
94,"Bourdeau, Robert",Untitled (# 6),1972.0,Photograph,75/6-0843,14,14
95,"Nigro, Richard",Chinchorinchee and Sumac Berries #1,1989.0,Photograph,92/3-0020,35,35
96,"Trépanier, Robert","Le centre commun ""Anglesea""",1975.0,Painting,75/6-0355,27,27
97,"Chopra, Chander",untitled/sans titre (from Threshold Series II),1990.0,Work on paper,91/2-0238,46,46
98,"Morrissey-Clayton, Merijean",Leopard Kimono,1981.0,Work on paper,81/2-0598,14,14
99,"Bond, Eleanor",Another Fallen Convertible,1980.0,Work on paper,82/3-0389,26,26
100,"Bordier, Marion",Chapelle de Lomaria An Hent (la commode du presbytère),1989.0,Photograph,89/90-0392,54,54
101,"Yuristy, Russell",Man on Tractor,1989.0,Work on paper,90/1-0155,14,14
102,"Cousineau, Sylvain",Silhouette d'un homme,1978.0,Photograph,87/8-0522,21,21
103,"Nigro, Richard",Spring Tree/Powell Street Ottawa,1981.0,Photograph,82/3-0316,32,32
104,Evergon,Untitled # 7,1981.0,Work on paper,81/2-0437,12,12
105,"James, Geoffrey",Ermenonville - The Temple of Modern Philosophy,1985.0,Photograph,86/7-0117,46,46
106,"Nigro, Richard",Spring Crab Apple Tree I/Queen Elizabeth Drive Ottawa,1981.0,Photograph,82/3-0314,53,53
107,"Nigro, Richard",Sweet Pricked Rose,1977.0,Work on paper,77/8-0342,18,18
108,"Davison, Betty",Strawberry Patch,1984.0,Work on paper,86/7-0385,16,16
109,"Davison, Betty",Migration,1980.0,Work on paper,84/5-0677,9,9
110,"Paton, Bruce","Constitution Day, Ottawa",1983.0,Photograph,89/90-0564,24,24
111,"Berlanga, Miguel-Angel",Purificazione,1989.0,Sculpture,89/90-0321,13,13
112,A & B Associés,Silus II,1983.0,Work on paper,84/5-0081,8,8
113,"Bourdeau, Robert",untitled/sans titre,1975.0,Photograph,78/9-0188,19,19
114,Jennifer Dickson & Howard Weingarden,"Palladian Noon, Villa Piovene (from Reflected Palaces)",1985.0,Photograph,85/6-0363,54,54
115,"Nigro, Richard",Soviet Realism/Strathcona Park Ottawa,1981.0,Photograph,82/3-0312,37,37
116,"Bourdeau, Robert",Untitled # 1,1974.0,Photograph,75/6-0154,12,12
117,"Creates, Marlene","Stepping Stones, Wales 1980",1980.0,Photograph,82/3-0134,27,27
118,"James, Geoffrey","Chateau de Canon, Mézédon (Les Chartreuses)",1985.0,Photograph,86/7-0113,43,43
119,Jennifer Dickson & Howard Weingarden,Shrouded Memories: Chiswick House (from Reflected Palaces),1985.0,Photograph,85/6-0353,58,58
120,"Grey, Jerry",Variation on a Theme,1974.0,Work on paper,74/5-0444,20,20
121,Evergon,Arachne,1986.0,Photograph,86/7-0700,7,7
122,"Nicholson, Margaret",The Beetles (from Natural History series),1991.0,Work on paper,91/2-0092,41,41
123,"Ivan, Agnes","Shadows # 1, # 2",1981.0,Work on paper,81/2-0352,16,16
124,"Morrissey-Clayton, Merijean",Ghost Kimono,1981.0,Work on paper,81/2-0448,12,12
125,"Fry, Philip",The Pond with Cardinal Flowers,1987.0,Photograph,89/90-0116,30,30
126,"Cohen, Lynne",Honeymoon Hideaway - in Poconos Pennsylvania,1974.0,Photograph,76/7-0635,44,44
127,"Dickson, Jennifer",Three Mirrors to Narcissus - Death by Water: Three (Masks),1978.0,Work on paper,79/80-0124,58,58
128,"Bridge, Jean","No.1,2,3,4 (from Randomness is a Red Herring)",1989.0,Work on paper,89/90-0592,45,45
129,"Nigro, Richard",Front Porch/1st Avenue Ottawa,1981.0,Photograph,82/3-0313,29,29
130,"Bourdeau, Robert","Yaxcopoil Hacienda, Yucatan, Mexico",1986.0,Photograph,87/8-0209,35,35
131,"Kennedy, Carol",Prince Edward Island,1975.0,Photograph,76/7-0160,20,20
132,"Davison, Betty",Nesting,1982.0,Work on paper,84/5-0674,7,7
133,"Dickson, Jennifer",Tempo Antica: I (Venus),1981.0,Work on paper,82/3-0038,23,23
134,"Bourdeau, Robert",Untitled (# 4),1972.0,Photograph,75/6-0841,14,14
135,"Bourdeau, Robert",untitled/sans titre,1973.0,Photograph,78/9-0175,19,19
136,"Lochhead, Kenneth",Over the Ocean,1970.0,Painting,78/9-0342,14,14
137,"Bourdeau, Robert",Costa Rica,1987.0,Photograph,89/90-0072,10,10
138,"Galluzzo, Frank",Ancient Echo,1987.0,Work on paper,87/8-0501,12,12
139,Jennifer Dickson & Howard Weingarden,"Reflected Amphitheatre, Isola Bella (from Reflected Palaces)",1986.0,Photograph,86/7-0128,60,60
140,"Reid, Jim",Mer Bleue Bog,1983.0,Painting,84/5-0107,13,13
141,"Bordier, Marion","D, figuiers banians (de Lieux de Paix)",1990.0,Photograph,92/3-0003,38,38
142,"Yuristy, Russell",Fifty Years,1988.0,Work on paper,89/90-0444,11,11
143,"Eglington, Judith",Untitled # 3,1981.0,Photograph,81/2-0463,12,12
144,"Lemire, Christiane",sans titre/untitled,1989.0,Work on paper,89/90-0545,19,19
145,"Fournier, Paul",Cypress Garden Pink,1976.0,Painting,77/8-0361,19,19
146,"Davison, Betty",Paper Roses,1974.0,Work on paper,74/5-0920,11,11
147,"Berlanga, Miguel-Angel",T-P #2,1986.0,Painting,86/7-0721,6,6
148,"Sutherland, Joan",red pool,1981.0,Work on paper,81/2-0552,8,8
149,"Bourdeau, Robert",untitled/sans titre,1975.0,Photograph,78/9-0185,19,19
150,"Bourdeau, Robert","Oregon, U.S.A.",1988.0,Photograph,89/90-0071,14,14
151,"Weissmann, Lawrence","(768-189) Ottawa, Ontario",1976.0,Photograph,76/7-0153,25,25
152,"Dean, Diana",Afternoon in the Shade,1976.0,Work on paper,78/9-0205,22,22
153,"Wyse, Alex",Horn Sound,1976.0,Sculpture,77/8-0515,10,10
154,"Paton, Bruce",Polar Bear Express,1980.0,Photograph,81/2-0427,18,18
155,"McVeigh, Don",A Big Bouquet of Carnations,1987.0,Painting,87/8-0321,27,27
156,"Hague, Elizabeth (Libby)",Triangle No. 4,1977.0,Work on paper,77/8-0102,14,14
157,Evergon,Untitled from the Caucasions in Birdland Series,1983.0,Photograph,83/4-0200,47,47
158,"Tourbin, Dennis",A Question of Identity,1992.0,Painting,93/4-0184,22,22
159,"Boyd, James",Sesame,1973.0,Work on paper,75/6-0590,6,6
160,"Gould, Trevor",Man Without A Title,1984.0,Work on paper,84/5-0670,19,19
161,"McVeigh, Don",Primitive Pac-Man,1985.0,Work on paper,85/6-0298,17,17
162,"Reid, Leslie",Larawls 7 P.M.,1975.0,Painting,77/8-0149,14,14
163,"Bordier, Marion","Le Rouz, Pen ar Bed (1) (de Intérieurs)",1990.0,Photograph,91/2-0043,39,39
164,"Tourbin, Dennis",October Crisis Memoir #1 & #2,1990.0,Work on paper,92/3-0029,29,29
165,"Schreier, Michael",Untitled/Sans titre,1980.0,Photograph,81/2-0047,19,19
166,Evergon,Arlésiane (Penny),1988.0,Photograph,89/90-0046,17,17
167,"Finch, Brian","Resolute Bay In Fog, N.W.T.",1990.0,Photograph,89/90-0505,27,27
168,"Dean, Max",Finger print,1977.0,Work on paper,84/5-0287,12,12
169,Evergon,Untitled # 1,1981.0,Work on paper,81/2-0441,12,12
170,"Wyse, Alex",Jutland Sardines,1973.0,Sculpture,74/5-0820,16,16
171,"Feindel, Susan",Intensive Care #21,1984.0,Work on paper,85/6-0060,18,18
172,"Lemire, Christiane",Sans Titre #5,1988.0,Work on paper,88/9-0153,13,13
173,"DesClouds, Tim",Corporate Elite,1990.0,Sculpture,90/1-0453,15,15
174,"Boyd, James",Peeking into the bowl,1979.0,Work on paper,79/80-0499,21,21
175,"McVeigh, Don",Bench,1991.0,Work on paper,91/2-0551,5,5
176,"Barbour, David",Ottawa 1980,1981.0,Photograph,82/3-0212,11,11
177,"Scott, Susan G.",Long Island # 10,1978.0,Work on paper,78/9-0412,16,16
178,"James, Geoffrey",Villa Aldobrandini,1984.0,Photograph,85/6-0003,18,18
179,"Gould, Trevor",Untitled (Gorilla),1984.0,Work on paper,85/6-0450,18,18
180,"Chopra, Chander",Untitled #3 (from Threshold Series),1989.0,Work on paper,91/2-0138,35,35
181,"Bourdeau, Robert","Oregon, U.S.A.",1988.0,Photograph,89/90-0073,14,14
182,"Deachman, Cindy","No. 15 (from ""Textbook Nature"")",1994.0,Work on paper,94/5-0041,31,31
183,"Chopra, Chander",untitled/sans titre (from Threshold Series),1988.0,Work on paper,90/1-0435,43,43
184,"James, Geoffrey",Ermenonville - The Temple of Modern Philosophy,1985.0,Photograph,86/7-0118,46,46
185,"Klein, Sylvia",Harmony,1985.0,Photograph,86/7-0621,7,7
186,"Creates, Marlene","Cerrig Duon Stone Circle with Paper, Wales 1980",1980.0,Photograph,80/1-0394,47,47
187,"Creates, Marlene","A Stone Placed in Line with an Iceberg, Baffin Island 1985",1985.0,Photograph,86/7-0354,58,58
188,"James, Geoffrey",Dumbarton Oaks,1981.0,Photograph,83/4-0465,14,14
189,"Charbonneau, Marc",aquatopolo,1981.0,Work on paper,81/2-0351,10,10
190,Jennifer Dickson & Howard Weingarden,Through the Mirror: Scarlet Tribute II - Villa Medicea della Petraia(from Reflected Palaces),1985.0,Photograph,85/6-0373,92,92
191,"Cohen, Lynne",Practice Range,1988.0,Photograph,88/9-0279,14,14
192,"Bordier, Marion",Natacha,1982.0,Photograph,84/5-0046,7,7
193,"Bourdeau, Robert",Untitled (# 3),1972.0,Photograph,75/6-0840,14,14
194,"Boyd, James",Group of Seven # 4,1978.0,Work on paper,78/9-0336,18,18
195,Jennifer Dickson & Howard Weingarden,Shrouded Memories: Chiswick House (from Reflected Palaces),1985.0,Photograph,85/6-0352,58,58
196,"Nigro, Richard",Chinchorinchee and Sumac Berries #5,1989.0,Photograph,92/3-0019,35,35
197,"Wonnacott, Justin","Painting in the Salon d'or, Chez Henri, Hull",1985.0,Photograph,87/8-0586,44,44
198,"Sharpe, Blair",Pacific Series 7: Masu,1987.0,Painting,88/9-0036,22,22
199,"Bourdeau, Robert",Untitled # 11,1973.0,Photograph,75/6-0164,13,13
200,"Cornelius, Karen S.",Sweet Retreat,1991.0,Other,92/3-0008,13,13
201,"VanderKloot, Edith",The Catch,1986.0,Photograph,87/8-0424,9,9
202,"Geuer, Juan","Euclidean Poetry A,B&C Space Between hyperbolas (a&b) Line TowardsCadmium red point (c)",1977.0,Installation,78/9-0375,87,87
203,"Geuer, Juan",Your Ultimate Responsibility,1979.0,Sculpture,85/6-0504,28,28
204,"Geuer, Juan",The Lord is Cunning,1977.0,Sculpture,78/9-0372,19,19
205,"Geuer, Juan",Space Clock,1984.0,Sculpture,85/6-0503,11,11
206,"Geuer, Juan",Self Portrait,1988.0,Sculpture,91/2-0229,13,13
207,"Dunning, Dale",Balance of Nature,1986.0,Sculpture,92/3-0009,17,17
208,"Geuer, Juan",Tension,1977.0,Other,78/9-0376,7,7
209,"Geuer, Juan",Light Pressure,1977.0,Other,78/9-0225,14,14
210,"Paul, Blair Thomas",Bridge,1986.0,Work on paper,87/8-0561,6,6
211,"Paul, Blair Thomas",Inner Spaces #5,1985.0,Work on paper,87/8-0560,15,15
212,"Pfliger, Terry",Rock Collection,1981.0,Sculpture,81/2-0655,15,15
213,"Pfliger, Terry","SMALL TABLE, SMALL TOWN, Small Talk",1991.0,Sculpture,92/3-0021,35,35
214,"Maynard, Don",Sky Traveler,1992.0,Work on paper,92/3-0975,12,12
215,"Heywood, J. Carl",Japan Flowers with Nick Wade,1982.0,Work on paper,82/3-0155,28,28
216,"Gorenko, Rick",Tree Farm,1992.0,Painting,92/3-0173,9,9
217,"Heywood, J. Carl",Variation on a Theme by Braque III,1984.0,Work on paper,85/6-0169,34,34
218,"Thomas, Jeffrey M.","Timothy L. White Eyes, LaKota Traditional Dancer, Hobbena, Alberta",1991.0,Photograph,91/2-0513,66,66
219,"Heywood, J. Carl",Arrangement,1977.0,Work on paper,78/9-0194,11,11
220,"Heywood, J. Carl",Bouquet for my Mentors,1978.0,Work on paper,78/9-0584,22,22
221,"Biéler, André",Marché d'hiver,1975.0,Painting,76/7-0126,14,14
222,"Heywood, J. Carl",Hommage to Holbein,1976.0,Work on paper,77/8-0328,18,18
223,"Heywood, J. Carl",Rough Japan Drypoint,1987.0,Work on paper,87/8-0313,20,20
224,"Heywood, J. Carl",Story in Sunshine,1979.0,Work on paper,82/3-0543,17,17
225,"Heywood, J. Carl",A Larger Love,1980.0,Work on paper,81/2-0489,13,13
226,"McGlashan, Paul",cup eclipse cup eclipse cup eclipse,1980.0,Other,82/3-0565,35,35
227,"Feindel, Susan",Male Figure Painting No.28,1988.0,Work on paper,88/9-0366,26,26
228,Jennifer Dickson & Howard Weingarden,"Reflected Amphitheatre, Isola Bella (from Reflected Palaces)",1986.0,Photograph,89/90-0108,60,60
229,"Reid, Leslie",Great Shining Water,1973.0,Work on paper,73/4-0606,19,19
230,"Fry, Philip",The Pond with Cardinal Flowers,1987.0,Photograph,88/9-0091,30,30
231,"James, Geoffrey",Chateau de Canon - pigonnier,1985.0,Photograph,86/7-0121,28,28
232,"Martin, Jane",Red Hat,1972.0,Painting,73/4-1604,7,7
233,Evergon,Still Life with Monkeys (from Works by Celluloso Evergonni),1988.0,Photograph,88/9-0364,59,59
234,"Dickson, Jennifer",Three Mirrors to Narcissus - Death by Water: Two (Repose),1978.0,Work on paper,79/80-0125,57,57
235,"Wonnacott, Justin",Welcome News from Abroad,1990.0,Photograph,90/1-0356,24,24
236,"Kennedy, Carol","Wyoming, U.S.A.",1976.0,Photograph,76/7-0159,15,15
237,"Boyd, James",Group of Seven # 7,1978.0,Work on paper,78/9-0339,18,18
238,"Benn, John",Reflections in Vowles Lake,1983.0,Work on paper,85/6-0025,26,26
239,"Cohen, Lynne","Futuric Furniture, Ottawa",1974.0,Photograph,76/7-0634,25,25
240,"Weissmann, Lawrence",Spirit of the River,1980.0,Photograph,80/1-0240,19,19
241,"Legrady, Miklos",In a Distant Era,1984.0,Photograph,91/2-0490,16,16
242,"Bourdeau, Robert",Untitled # 8,1973.0,Photograph,75/6-0161,12,12
243,"Reid, Leslie",Gull Lake 4,1973.0,Work on paper,73/4-1203,11,11
244,"Berlanga, Miguel-Angel",A tort et à travers (teepee),1985.0,Photograph,87/8-0588,28,28
245,"Boyd, James",Untitled # 4,1973.0,Work on paper,73/4-0046,12,12
246,"Bost, Anne-Marie",Sans titre/Untitled,1982.0,Painting,83/4-0095,19,19
247,"Anderson, Alec",Psience Phycsion,1979.0,Sculpture,79/80-0466,16,16
248,"Creates, Marlene","A Stone Thrown into the Sea at Midnight, Baffin Island 1985",1985.0,Photograph,86/7-0358,59,59
249,"Dickson, Jennifer",Tryptich for Life Ensnared,1976.0,Work on paper,78/9-0421,26,26
250,"Morrissey-Clayton, Merijean",Ghost Kimono,1981.0,Work on paper,81/2-0594,12,12
251,"Yuristy, Russell",Pitching Basics (1-6),1990.0,Work on paper,91/2-0536,21,21
252,"Bourdeau, Robert",Untitled (# 13),1974.0,Photograph,75/6-0850,15,15
253,"Dickson, Jennifer","Body Perceptions, Water, wave and wind",1974.0,Work on paper,78/9-0420,38,38
254,"Harris, Lawren P.",Chevrons No. 2,1969.0,Work on paper,79/80-0325,14,14
255,"Bordier, Marion",Chapelle de Lomaria An Hent (la commode du presbytère),1989.0,Photograph,89/90-0394,54,54
256,"Yuristy, Russell",Seven Salmon,1990.0,Work on paper,89/90-0586,12,12
257,"Dickson, Jennifer",Three Mirrors to Narcissus,1978.0,Work on paper,78/9-0640,26,26
258,"Boyd, James",The Secret of the Space Ship,1979.0,Work on paper,79/80-0497,28,28
259,"Sauveur, Roderick",Untitled #3,1991.0,Work on paper,91/2-0503,11,11
260,"Mikkanen, Raili",Sans titre/Untitled,1976.0,Work on paper,76/7-0614,19,19
261,"Morrissey-Clayton, Merijean",Ghost Kimono,1981.0,Work on paper,81/2-0595,12,12
262,"Benn, John",Reflections in Vowles Lake,1983.0,Work on paper,85/6-0076,26,26
263,"Creates, Marlene","A Stone Placed in Line with an Iceberg, Baffin Island 1985",1985.0,Photograph,86/7-0355,58,58
264,"Grey, Jerry",Cover-up,1974.0,Work on paper,75/6-0207,8,8
265,"Tétreault, Pierre-Léon",En luminure comme turelure d'écriture,1979.0,Work on paper,82/3-0528,37,37
266,"Harris, Lawren P.",Planes,1973.0,Work on paper,79/80-0326,6,6
267,"Dickson, Jennifer",The Prince,1982.0,Work on paper,83/4-0053,10,10
268,Jennifer Dickson & Howard Weingarden,Penshurst Place: Spring Rain II (from Reflected Palaces),1985.0,Photograph,85/6-0358,56,56
269,"James, Geoffrey","Chateau de Canon, Mézédon (Les Chartreuses)",1985.0,Photograph,86/7-0114,43,43
270,Jennifer Dickson & Howard Weingarden,Penshurst Place: Spring Rain III (from Relfected Palaces),1985.0,Photograph,89/90-0109,57,57
271,"Weissmann, Lawrence","(758-150) Rideau Canal Near 5th Ave, Ottawa, Ontario",1976.0,Photograph,76/7-0151,52,52
272,"Monahan, Thomas",Horse,1976.0,Painting,81/2-0193,5,5
273,"Berlanga, Miguel-Angel",Menace,1991.0,Work on paper,91/2-0042,6,6
274,"Gilbert, Lorraine","Luc in Bella Coola, B.C.",1990.0,Photograph,91/2-0474,24,24
275,"Heinricks, Jay",040187,1987.0,Work on paper,87/8-0477,6,6
276,"Vachali, Sadanand M.",Tantra One,1989.0,Work on paper,92/3-1009,10,10
277,"Benn, John",Richard Simmins,1984.0,Work on paper,85/6-0074,15,15
278,Evergon,Horific portrait (man with mask),1983.0,Photograph,87/8-0283,32,32
279,"Schreier, Michael",Elephant & Neon (from Night Sea Journey),1990.0,Photograph,90/1-0544,40,40
280,Jennifer Dickson & Howard Weingarden,"The Enchanted Orangerie, Weston Park (from Reflected Palaces)",1986.0,Photograph,86/7-0127,61,61
281,"Reid, Leslie",Genêts III,1983.0,Painting,86/7-0484,10,10
282,"Yuristy, Russell",Fifty Years,1988.0,Work on paper,89/90-0442,11,11
283,"Morrissey-Clayton, Merijean",Paper Kimono,1981.0,Work on paper,82/3-0507,12,12
284,"Boyd, James",Group of Seven # 5,1978.0,Work on paper,78/9-0337,18,18
285,"Dickson, Jennifer","Desecrated Loggia, Palazzo del Té, Mantua(from the Last Silence)",1989.0,Photograph,89/90-0491,64,64
286,Evergon,"Self and Ian with Gardenias, White Painted Square and Red Dots",1984.0,Photograph,84/5-0190,62,62
287,"Paton, Bruce","Heatwave Festival, Mosport, Ontario",1980.0,Photograph,81/2-0432,35,35
288,"Mikkanen, Raili",Sans titre/Untitled,1976.0,Work on paper,76/7-0613,19,19
289,"Taylor, Susan Geraldine",The Untame Garden Chapter Four (from Ode to the Grand CentralExperimental Farm),1989.0,Work on paper,89/90-0057,79,79
290,"Zurakowska, Malgorzata",Apocalypse (figure fourth),1988.0,Work on paper,90/1-0555,26,26
291,"Boyd, James",Group of Seven # 3,1978.0,Work on paper,78/9-0335,18,18
292,"Chopra, Chander",Untitled #1,1989.0,Work on paper,90/1-0160,11,11
293,"Morrissey-Clayton, Merijean",She wore an old Kimono,1981.0,Work on paper,81/2-0603,22,22
